experiment,architecture,dropout,learning_rate,batch_size,optimizer,batch_norm,class_weight,l2,parameters,epochs_trained,train_time_s,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
O10-BatchNorm,64-32-16,0.2,0.001,32,adam,True,False,0.0,5057,21,8.61,0.8065661047027507,0.6483516483516484,0.5919732441471572,0.6188811188811189,0.8440857609099576
O9-LR-1e-4,64-32-16,0.3,0.0001,32,adam,False,False,0.0,4609,77,26.53,0.8136645962732919,0.6772908366533864,0.568561872909699,0.6181818181818182,0.8417753219265507
O12-ClassWeight,64-32-16,0.3,0.001,32,adam,False,True,0.0,4609,22,7.84,0.735581188997338,0.5010526315789474,0.7959866220735786,0.6149870801033592,0.8435283473090657
O8-LR-3e-4,64-32-16,0.3,0.0003,32,adam,False,False,0.0,4609,34,10.84,0.8110026619343389,0.6692913385826772,0.568561872909699,0.6148282097649186,0.8458387862924726
O7-LR-5e-4,64-32-16,0.3,0.0005,32,adam,False,False,0.0,4609,33,12.38,0.8074534161490683,0.6553030303030303,0.5785953177257525,0.6145648312611013,0.8450026658911347
O2-128-64-32,128-64-32,0.3,0.001,32,adam,False,False,0.0,14337,16,6.57,0.8136645962732919,0.6831275720164609,0.5551839464882943,0.6125461254612546,0.8436979949267285
O11-RMSprop,64-32-16,0.3,0.001,32,rmsprop,False,False,0.0,4609,21,6.82,0.8154392191659272,0.6936170212765957,0.5451505016722408,0.6104868913857678,0.8441746239477809
O4-Dropout-0.1,64-32-16,0.1,0.001,32,adam,False,False,0.0,4609,13,4.88,0.808340727595386,0.6680161943319838,0.5518394648829431,0.6043956043956044,0.8420419110400208
O13-L2,64-32-16,0.3,0.001,32,adam,False,False,0.0001,4609,31,11.09,0.8092280390417036,0.6721311475409836,0.5484949832775919,0.6040515653775321,0.8451803919667813
O6-Dropout-0.4,64-32-16,0.4,0.001,32,adam,False,False,0.0,4609,22,7.59,0.8110026619343389,0.6822033898305084,0.5384615384615384,0.6018691588785046,0.8461336500088863
O5-Dropout-0.3,64-32-16,0.3,0.001,32,adam,False,False,0.0,4609,29,10.93,0.808340727595386,0.6736401673640168,0.5384615384615384,0.5985130111524164,0.8455439225760586
O3-128-64-32-16,128-64-32-16,0.3,0.001,32,adam,False,False,0.0,14849,19,8.72,0.8074534161490683,0.6708333333333333,0.5384615384615384,0.5974025974025974,0.8424539123972017
O1-64-32,64-32,0.3,0.001,32,adam,False,False,0.0,4097,25,9.08,0.8065661047027507,0.6738197424892703,0.5250836120401338,0.5902255639097744,0.8463315722294928
